dx	dy	Total	empty	non-empty	BlackZone	meanGap	varGap	Lacunarity
2	2	786432	522976	263456	240073	0.3206	0.2114	3.0575
4	4	196608	126370	70238	54391	0.3206	0.2046	2.9905
8	8	49152	30048	19104	10972	0.3206	0.1941	2.8888
16	16	12288	7069	5219	1756	0.3206	0.1802	2.7538
32	32	3072	1646	1426	187	0.3206	0.1654	2.6092
64	64	768	378	390	11	0.3206	0.1520	2.4791
128	128	192	81	111	0	0.3206	0.1358	2.3211
256	256	48	13	35	0	0.3206	0.1173	2.1416
512	512	12	0	12	0	0.3206	0.0879	1.8555
1024	1024	4	0	4	0	0.2404	0.0200	1.3466
