dx	dy	Total	empty	non-empty	BlackZone	meanGap	varGap	Lacunarity
2	2	786432	480237	306195	272268	0.3686	0.2236	2.6453
4	4	196608	114157	82451	59796	0.3686	0.2141	2.5753
8	8	49152	26531	22621	11175	0.3686	0.2000	2.4717
16	16	12288	6125	6163	1469	0.3686	0.1821	2.3401
32	32	3072	1393	1679	113	0.3686	0.1641	2.2074
64	64	768	309	459	2	0.3686	0.1485	2.0929
128	128	192	59	133	0	0.3686	0.1333	1.9808
256	256	48	10	38	0	0.3686	0.1094	1.8053
512	512	12	1	11	0	0.3686	0.0705	1.5192
1024	1024	4	0	4	0	0.2765	0.0200	1.2612
