dx	dy	Total	empty	non-empty	BlackZone	meanGap	varGap	Lacunarity
2	2	786432	526941	259491	217273	0.3038	0.2002	3.1686
4	4	196608	124757	71851	44530	0.3038	0.1886	3.0432
8	8	49152	29241	19911	7273	0.3038	0.1743	2.8883
16	16	12288	6846	5442	684	0.3038	0.1587	2.7196
32	32	3072	1599	1473	18	0.3038	0.1443	2.5635
64	64	768	366	402	0	0.3038	0.1325	2.4353
128	128	192	79	113	0	0.3038	0.1193	2.2927
256	256	48	12	36	0	0.3038	0.1048	2.1357
512	512	12	0	12	0	0.3038	0.0776	1.8409
1024	1024	4	0	4	0	0.2279	0.0211	1.4054
