Log(dx)	Log(Lac actual)	Log(Lac synthesized)						
0.301029996	0.444591226	0.422474932						
0.602059991	0.426706406	0.410827828						
0.903089987	0.403206342	0.392995758						
1.204119983	0.376175323	0.369234417						
1.505149978	0.349491222	0.343881038						
1.806179974	0.327440676	0.320748478						
2.10720997	0.303520037	0.296840627						
2.408239965	0.26778166	0.256549382						
2.709269961	0.194902674	0.181614952						
3.010299957	0.080265627	0.100783962						


Synthesized								
dx	dy	Total	empty	non-empty	BlackZone	meanGap	varGap	Lacunarity
2	2	786432	490992	295440	247046	0.3458	0.2132	2.7835
4	4	196608	114575	82033	50438	0.3458	0.1998	2.6712
8	8	49152	26413	22739	8142	0.3458	0.183	2.5305
16	16	12288	6100	6188	721	0.3458	0.1647	2.3778
32	32	3072	1394	1678	16	0.3458	0.1478	2.2361
64	64	768	303	465	0	0.3458	0.1346	2.1254
128	128	192	61	131	0	0.3458	0.1209	2.0115
256	256	48	8	40	0	0.3458	0.1019	1.8526
512	512	12	0	12	0	0.3458	0.0677	1.5664
1024	1024	4	0	4	0	0.2593	0.0137	1.203


Actual								
dx	dy	Total	empty	non-empty	BlackZone	meanGap	varGap	Lacunarity
2	2	786432	480237	306195	272268	0.3686	0.2236	2.6453
4	4	196608	114157	82451	59796	0.3686	0.2141	2.5753
8	8	49152	26531	22621	11175	0.3686	0.2	2.4717
16	16	12288	6125	6163	1469	0.3686	0.1821	2.3401
32	32	3072	1393	1679	113	0.3686	0.1641	2.2074
64	64	768	309	459	2	0.3686	0.1485	2.0929
128	128	192	59	133	0	0.3686	0.1333	1.9808
256	256	48	10	38	0	0.3686	0.1094	1.8053
512	512	12	1	11	0	0.3686	0.0705	1.5192
1024	1024	4	0	4	0	0.2765	0.02	1.2612
